,file,geneID,uni_gal,gene,gene_galGal,finalgene
1079,aquChr_transcript:ENSACCT00020004275_R0,GEMOMA_00008566-RA,A0A3Q2U7T0,SGMS1,SGMS1,SGMS1
1080,aquChr_transcript:ENSACCT00020004277_R0,GEMOMA_00003406-RA,F1P3J4,SHH,SHH,SHH
1081,aquChr_transcript:ENSACCT00020004279_R0,GEMOMA_00011744-RA,A0A1D5NV46,GK,GK2,GK
1082,aquChr_transcript:ENSACCT00020004279_R1,GEMOMA_00011854-RA,A0A1D5NV46,GK,GK2,GK
1083,aquChr_transcript:ENSACCT00020004280_R0,GEMOMA_00004507-RA,A0A3Q2U523,CTU2,CTU2,CTU2
1084,aquChr_transcript:ENSACCT00020004289_R0,GEMOMA_00014630-RA,O73770,DGCR6,DGCR6,DGCR6
1085,aquChr_transcript:ENSACCT00020004291_R0,GEMOMA_00012962-RA,A0A3Q2UGU3,IGSF21,IGSF21,IGSF21
1086,aquChr_transcript:ENSACCT00020004293_R0,GEMOMA_00004409-RA,P07090,CALB2,CALB2,CALB2
1087,aquChr_transcript:ENSACCT00020004294_R2,GEMOMA_00004028-RA,NA,NA,NA,NA
1088,aquChr_transcript:ENSACCT00020004295_R0,GEMOMA_00010178-RA,A0A1D5P502,CEP104,CEP104,CEP104
1089,aquChr_transcript:ENSACCT00020004298_R0,GEMOMA_00008646-RA,F1NCH3,HERC4,HERC4,HERC4
1090,aquChr_transcript:ENSACCT00020004304_R0,GEMOMA_00012770-RA,A0A1D5NWI2,AHCY-A,AHCY,AHCY-A
1091,aquChr_transcript:ENSACCT00020004305_R0,GEMOMA_00014631-RA,E1BVL6,SLC7A4,NA,SLC7A4
1092,aquChr_transcript:ENSACCT00020004317_R0,GEMOMA_00000663-RA,E1BXT2,STRADB,STRADB,STRADB
1093,aquChr_transcript:ENSACCT00020004322_R0,GEMOMA_00011853-RA,A0A1L1RS25,TASL,CXorf21,TASL
1094,aquChr_transcript:ENSACCT00020004322_R1,GEMOMA_00011743-RA,NA,NA,NA,NA
1095,aquChr_transcript:ENSACCT00020004326_R0,GEMOMA_00008219-RA,F1P037,GLRB,GLRB,GLRB
1096,aquChr_transcript:ENSACCT00020004327_R0,GEMOMA_00007061-RA,F1NLZ2,CHGA,CHGA,CHGA
1097,aquChr_transcript:ENSACCT00020004332_R0,GEMOMA_00009922-RA,E1C155,ALDH6A1,ALDH6A1,ALDH6A1
1098,aquChr_transcript:ENSACCT00020004332_R1,GEMOMA_00014241-RA,NA,BAUC,NA,BAUC
1099,aquChr_transcript:ENSACCT00020004333_R0,GEMOMA_00001994-RA,F1NI56,CD276,CD276,CD276
1100,aquChr_transcript:ENSACCT00020004335_R0,GEMOMA_00001369-RA,E1C229,RARS2,RARS2,RARS2
1101,aquChr_transcript:ENSACCT00020004337_R1,GEMOMA_00013724-RA,A0A3Q2U1Z4,MRPS21,MRPS21,MRPS21
1102,aquChr_transcript:ENSACCT00020004338_R0,GEMOMA_00011742-RA,F1NRP9,NR0B1,NR0B1,NR0B1
1103,aquChr_transcript:ENSACCT00020004338_R1,GEMOMA_00011852-RA,F1NRP9,NR0B1,NR0B1,NR0B1
1104,aquChr_transcript:ENSACCT00020004342_R0,GEMOMA_00012769-RA,A0A1D5PQP3,ITCH,ITCH,ITCH
1105,aquChr_transcript:ENSACCT00020004349_R0,GEMOMA_00000664-RA,A0A1L1RJ33,TMEM237,TMEM237,TMEM237
1106,aquChr_transcript:ENSACCT00020004352_R0,GEMOMA_00004645-RA,NA,RCCD1,NA,RCCD1
1107,aquChr_transcript:ENSACCT00020004354_R0,GEMOMA_00004505-RA,F1NAY8,MVD,MVD,MVD
1108,aquChr_transcript:ENSACCT00020004359_R0,GEMOMA_00007062-RA,E1C947,GOLGA5,GOLGA5,GOLGA5
1109,aquChr_transcript:ENSACCT00020004360_R0,GEMOMA_00004259-RA,A0A3Q2U7U7,ADCY7,ADCY7,ADCY7
1110,aquChr_transcript:ENSACCT00020004365_R0,GEMOMA_00008647-RA,F1N886,SIRT1,SIRT1,SIRT1
1111,aquChr_transcript:ENSACCT00020004369_R0,GEMOMA_00004406-RA,F1P186,SLC38A7,SLC38A7,SLC38A7
1112,aquChr_transcript:ENSACCT00020004371_R0,GEMOMA_00007890-RA,F1NDN5,KRT15,KRT13,KRT15
1113,aquChr_transcript:ENSACCT00020004372_R1,GEMOMA_00015832-RA,NA,NA,NA,NA
1114,aquChr_transcript:ENSACCT00020004372_R2,GEMOMA_00015757-RA,NA,NA,NA,NA
1115,aquChr_transcript:ENSACCT00020004372_R3,GEMOMA_00015729-RA,NA,NA,NA,NA
1116,aquChr_transcript:ENSACCT00020004372_R4,GEMOMA_00015745-RA,NA,NA,NA,NA
1117,aquChr_transcript:ENSACCT00020004373_R0,GEMOMA_00004504-RA,Q5ZKT0,CYBA,CYBA,CYBA
1118,aquChr_transcript:ENSACCT00020004375_R0,GEMOMA_00008648-RA,E1C6F1,DNAJC12,DNAJC12,DNAJC12
1119,aquChr_transcript:ENSACCT00020004377_R0,GEMOMA_00001996-RA,F1NIC9,INSYN1,C10H15ORF59,INSYN1
1120,aquChr_transcript:ENSACCT00020004384_R0,GEMOMA_00007063-RA,E1C958,LGMN,LGMN,LGMN
1121,aquChr_transcript:ENSACCT00020004394_R0,GEMOMA_00001366-RA,E1C217,CFAP206,CFAP206,CFAP206
1122,aquChr_transcript:ENSACCT00020004396_R0,GEMOMA_00007891-RA,A0A1D5PQ65,KRT23,KRT23,KRT23
1123,aquChr_transcript:ENSACCT00020004402_R0,GEMOMA_00004644-RA,A0A3Q2U3E9,UNC45A,UNC45A,UNC45A
1124,aquChr_transcript:ENSACCT00020004403_R0,GEMOMA_00000972-RA,Q6JHX4,MRAS,MRAS,MRAS
1125,aquChr_transcript:ENSACCT00020004411_R0,GEMOMA_00013241-RA,NA,RPRD2,NA,RPRD2
1126,aquChr_transcript:ENSACCT00020004411_R1,GEMOMA_00013723-RA,A0A1D5P736,NA,RPRD2,RPRD2
1127,aquChr_transcript:ENSACCT00020004418_R0,GEMOMA_00003457-RA,A0A1D5PVV6,ZDHHC3,ZDHHC3,ZDHHC3
1128,aquChr_transcript:ENSACCT00020004421_R0,GEMOMA_00001364-RA,F1P1R4,SMIM8,SMIM8,SMIM8
1129,aquChr_transcript:ENSACCT00020004426_R0,GEMOMA_00009924-RA,E1C1L6,ENTPD5,ENTPD5,ENTPD5
1130,aquChr_transcript:ENSACCT00020004429_R0,GEMOMA_00012762-RA,A0A1D5PNG3,EIF6,EIF6,EIF6
1131,aquChr_transcript:ENSACCT00020004431_R0,GEMOMA_00008216-RA,A0A1D5P0J6,TDO2,TDO2,TDO2
1132,aquChr_transcript:ENSACCT00020004447_R0,GEMOMA_00003401-RA,F1NW48,ACTR3B,ACTR3B,ACTR3B
1133,aquChr_transcript:ENSACCT00020004448_R0,GEMOMA_00012764-RA,Q5ZIZ3,UQCC1,UQCC1,UQCC1
1134,aquChr_transcript:ENSACCT00020004449_R0,GEMOMA_00009925-RA,F1NBR7,COQ6,COQ6,COQ6
1135,aquChr_transcript:ENSACCT00020004454_R0,GEMOMA_00007091-RA,A0A1L1RR63,NA,LOC428335,LOC428335
1136,aquChr_transcript:ENSACCT00020004455_R0,GEMOMA_00013001-RA,A0A3Q2U931,INO80C,INO80C,INO80C
1137,aquChr_transcript:ENSACCT00020004456_R0,GEMOMA_00000974-RA,A0A3Q2U5T9,PTPN4,PTPN4,PTPN4
1138,aquChr_transcript:ENSACCT00020004458_R0,GEMOMA_00003456-RA,A0A1D5P0B9,EXOSC7,EXOSC7,EXOSC7
1139,aquChr_transcript:ENSACCT00020004464_R0,GEMOMA_00003400-RA,R4GGA5,XRCC2,XRCC2,XRCC2
1140,aquChr_transcript:ENSACCT00020004478_R2,GEMOMA_00015736-RA,NA,NA,NA,NA
1141,aquChr_transcript:ENSACCT00020004478_R4,GEMOMA_00015752-RA,NA,NA,NA,NA
1142,aquChr_transcript:ENSACCT00020004478_R6,GEMOMA_00015785-RA,NA,NA,NA,NA
1143,aquChr_transcript:ENSACCT00020004478_R7,GEMOMA_00015818-RA,NA,NA,NA,NA
1144,aquChr_transcript:ENSACCT00020004478_R8,GEMOMA_00015788-RA,NA,NA,NA,NA
1145,aquChr_transcript:ENSACCT00020004478_R9,GEMOMA_00015748-RA,NA,NA,NA,NA
1146,aquChr_transcript:ENSACCT00020004488_R0,GEMOMA_00015246-RA,NA,NA,NA,NA
1147,aquChr_transcript:ENSACCT00020004496_R0,GEMOMA_00000975-RA,A0A3Q2UIC0,EPB41L5,EPB41L5,EPB41L5
1148,aquChr_transcript:ENSACCT00020004497_R0,GEMOMA_00013903-RA,A0A1D5PVI0,NA,RNF151,RNF151
1149,aquChr_transcript:ENSACCT00020004500_R0,GEMOMA_00004260-RA,E1BQ83,BRD7,BRD7,BRD7
1150,aquChr_transcript:ENSACCT00020004508_R0,GEMOMA_00001361-RA,E1BS44,5HT1E,HTR1E,5HT1E
1151,aquChr_transcript:ENSACCT00020004511_R0,GEMOMA_00003454-RA,A0A1D5NYI9,CDCP1,CDCP1,CDCP1
1152,aquChr_transcript:ENSACCT00020004525_R0,GEMOMA_00004642-RA,A0A1D5PZZ8,MAN2A2,MAN2A2,MAN2A2
1153,aquChr_transcript:ENSACCT00020004546_R0,GEMOMA_00000785-RA,F1NI57,CWC22,CWC22,CWC22
1154,aquChr_transcript:ENSACCT00020004550_R0,GEMOMA_00014328-RA,F1NL19,CDC34,CDC34,CDC34
1155,aquChr_transcript:ENSACCT00020004551_R0,GEMOMA_00013902-RA,A0A1D5NUT3,FSBP,FSBP,FSBP
1156,aquChr_transcript:ENSACCT00020004560_R0,GEMOMA_00016242-RA,E1BUW9,UCN3,UCN3,UCN3
1157,aquChr_transcript:ENSACCT00020004561_R0,GEMOMA_00009927-RA,F1NBR9,FBXO33,FBXO33,FBXO33
1158,aquChr_transcript:ENSACCT00020004563_R0,GEMOMA_00012965-RA,NA,PADI3,NA,PADI3
1159,aquChr_transcript:ENSACCT00020004566_R0,GEMOMA_00004262-RA,A0A1D5P565,SNX20,SNX20,SNX20
1160,aquChr_transcript:ENSACCT00020004567_R0,GEMOMA_00003452-RA,A0A1D5NTZ8,LARS2,LARS2,LARS2
1161,aquChr_transcript:ENSACCT00020004568_R0,GEMOMA_00004402-RA,C0A1D0,AGRP,Agrp,AGRP
1162,aquChr_transcript:ENSACCT00020004573_R0,GEMOMA_00000977-RA,A0A3Q3AMW5,RALB,RALB,RALB
1163,aquChr_transcript:ENSACCT00020004574_R0,GEMOMA_00004641-RA,A0A1D5PZX7,V-FPS,FES,V-FPS
1164,aquChr_transcript:ENSACCT00020004577_R0,GEMOMA_00007895-RA,F1NCC9,SMARCE1,SMARCE1,SMARCE1
1165,aquChr_transcript:ENSACCT00020004580_R0,GEMOMA_00013004-RA,F1NQ92,RPRD1A,RPRD1A,RPRD1A
1166,aquChr_transcript:ENSACCT00020004590_R0,GEMOMA_00001360-RA,A0A3Q2UAF8,SYNCRIP,SYNCRIP,SYNCRIP
1167,aquChr_transcript:ENSACCT00020004593_R0,GEMOMA_00000978-RA,R4GIS0,INHBB,INHBB,INHBB
1168,aquChr_transcript:ENSACCT00020004594_R0,GEMOMA_00004401-RA,E1BVF8,ATP6V0D1,ATP6V0D1,ATP6V0D1
1169,aquChr_transcript:ENSACCT00020004596_R0,GEMOMA_00001963-RA,NA,NA,NA,NA
1170,aquChr_transcript:ENSACCT00020004602_R1,GEMOMA_00013239-RA,A0A1D5NZ06,RPS27,RPS27,RPS27
1171,aquChr_transcript:ENSACCT00020004602_R2,GEMOMA_00013720-RA,A0A1D5NZ06,RPS27,RPS27,RPS27
1172,aquChr_transcript:ENSACCT00020004603_R0,GEMOMA_00003451-RA,A0A1D5PYB7,LIMD1,LIMD1,LIMD1
1173,aquChr_transcript:ENSACCT00020004608_R0,GEMOMA_00004263-RA,F1NH67,CYLD,CYLD,CYLD
1174,aquChr_transcript:ENSACCT00020004612_R0,GEMOMA_00004640-RA,Q91000,FURIN,FURIN,FURIN
1175,aquChr_transcript:ENSACCT00020004615_R0,GEMOMA_00007064-RA,A0A3Q2UCA7,RIN3,RIN3,RIN3
1176,aquChr_transcript:ENSACCT00020004621_R0,GEMOMA_00012966-RA,E1C0W6,NA,PADI1,PADI1
1177,aquChr_transcript:ENSACCT00020004623_R0,GEMOMA_00013238-RA,NA,RAB13,NA,RAB13
1178,aquChr_transcript:ENSACCT00020004623_R1,GEMOMA_00013719-RA,NA,RAB13,NA,RAB13
1179,aquChr_transcript:ENSACCT00020004624_R0,GEMOMA_00016468-RA,A0A3Q2UG64,POL,NA,POL
1180,aquChr_transcript:ENSACCT00020004624_R1,GEMOMA_00016409-RA,A0A3Q2UG64,POL,NA,POL
1181,aquChr_transcript:ENSACCT00020004624_R2,GEMOMA_00016425-RA,NA,NA,NA,NA
1182,aquChr_transcript:ENSACCT00020004624_R4,GEMOMA_00016266-RA,NA,NA,NA,NA
1183,aquChr_transcript:ENSACCT00020004624_R6,GEMOMA_00016174-RA,NA,NA,NA,NA
1184,aquChr_transcript:ENSACCT00020004624_R7,GEMOMA_00016097-RA,NA,NA,NA,NA
1185,aquChr_transcript:ENSACCT00020004624_R8,GEMOMA_00015465-RA,A0A3Q2UG64,NA,NA,NA
1186,aquChr_transcript:ENSACCT00020004624_R9,GEMOMA_00015441-RA,A0A3Q2UG64,NA,NA,NA
1187,aquChr_transcript:ENSACCT00020004625_R0,GEMOMA_00000788-RA,E1BTV4,SESTD1,SESTD1,SESTD1
1188,aquChr_transcript:ENSACCT00020004627_R0,GEMOMA_00000666-RA,E1BX75,ALS2,ALS2,ALS2
1189,aquChr_transcript:ENSACCT00020004639_R0,GEMOMA_00004639-RA,R4GGG5,MFAP1,MFAP1,MFAP1
1190,aquChr_transcript:ENSACCT00020004642_R0,GEMOMA_00005653-RA,F1NJG2,UNG,UNG,UNG
1191,aquChr_transcript:ENSACCT00020004651_R0,GEMOMA_00004497-RA,A0A142EGP7,SLC7A5,SLC7A5,SLC7A5
1192,aquChr_transcript:ENSACCT00020004657_R0,GEMOMA_00009930-RA,E1C2F2,PNN,PNN,PNN
1193,aquChr_transcript:ENSACCT00020004663_R0,GEMOMA_00004112-RA,F1NSY7,IMPG2,IMPG2,IMPG2
1194,aquChr_transcript:ENSACCT00020004664_R0,GEMOMA_00004638-RA,E1BWS9,HYPK,HYPK,HYPK
1195,aquChr_transcript:ENSACCT00020004665_R0,GEMOMA_00002476-RA,A0A3Q2U203,MYNN,MYNN,MYNN
1196,aquChr_transcript:ENSACCT00020004666_R0,GEMOMA_00001966-RA,R4GJT5,ISLR2,ISLR2,ISLR2
1197,aquChr_transcript:ENSACCT00020004667_R0,GEMOMA_00004264-RA,A0A1D5NTG3,SALL1,SALL1,SALL1
1198,aquChr_transcript:ENSACCT00020004669_R0,GEMOMA_00005654-RA,A0A1D5PDH0,ALKBH2,ALKBH2,ALKBH2
1199,aquChr_transcript:ENSACCT00020004675_R0,GEMOMA_00009931-RA,E1C3X0,TRAPPC6B,TRAPPC6A,TRAPPC6B
1200,aquChr_transcript:ENSACCT00020004677_R0,GEMOMA_00003398-RA,E1BYU3,GALNT11,GALNT11,GALNT11
1201,aquChr_transcript:ENSACCT00020004679_R0,GEMOMA_00004496-RA,A0A1D5PDN8,KLHDC4,KLHDC4,KLHDC4
1202,aquChr_transcript:ENSACCT00020004682_R0,GEMOMA_00003548-RA,A0A1L1RNV8,NA,CHCHD3,CHCHD3
1203,aquChr_transcript:ENSACCT00020004683_R0,GEMOMA_00012967-RA,S6BNL5,PADI2,cPAD2,PADI2
1204,aquChr_transcript:ENSACCT00020004690_R0,GEMOMA_00001967-RA,F1NVG0,NA,ISLR,ISLR
1205,aquChr_transcript:ENSACCT00020004692_R0,GEMOMA_00010173-RA,E1C8W8,WRAP73,WRAP73,WRAP73
1206,aquChr_transcript:ENSACCT00020004700_R0,GEMOMA_00009932-RA,Q5ZJH1,GEMIN2,GEMIN2,GEMIN2
1207,aquChr_transcript:ENSACCT00020004703_R0,GEMOMA_00013237-RA,NA,SLC39A1,NA,SLC39A1
1208,aquChr_transcript:ENSACCT00020004703_R1,GEMOMA_00013718-RA,NA,SLC39A1,NA,SLC39A1
1209,aquChr_transcript:ENSACCT00020004705_R0,GEMOMA_00004495-RA,A0A1D5P0L8,JPH3,JPH3,JPH3
1210,aquChr_transcript:ENSACCT00020004706_R0,GEMOMA_00008212-RA,A0A1D5P280,GUCY1A1,GUCY1A3,GUCY1A1
1211,aquChr_transcript:ENSACCT00020004709_R0,GEMOMA_00002475-RA,E1BQG6,LRRC34,LRRC34,LRRC34
1212,aquChr_transcript:ENSACCT00020004713_R0,GEMOMA_00000669-RA,Q8QGH2,SUMO1,SUMO1,SUMO1
1213,aquChr_transcript:ENSACCT00020004716_R0,GEMOMA_00004111-RA,A0A1L1RZS3,SENP7,SENP7,SENP7
1214,aquChr_transcript:ENSACCT00020004724_R0,GEMOMA_00009933-RA,A0A1D5P0E2,SEC23A,SEC23A,SEC23A
1215,aquChr_transcript:ENSACCT00020004727_R0,GEMOMA_00001358-RA,F1NZT4,NT5E,NT5E,NT5E
1216,aquChr_transcript:ENSACCT00020004731_R0,GEMOMA_00004266-RA,A0A1D5P3U9,CHD9,CHD9,CHD9
1217,aquChr_transcript:ENSACCT00020004733_R0,GEMOMA_00000670-RA,E1BUS2,NOP58,NOP58,NOP58
1218,aquChr_transcript:ENSACCT00020004737_R0,GEMOMA_00004398-RA,F1NL74,SLC9A5,SLC9A5,SLC9A5
1219,aquChr_transcript:ENSACCT00020004742_R0,GEMOMA_00006088-RA,A0A1D5P892,SRSF6,SRSF6,SRSF6
1220,aquChr_transcript:ENSACCT00020004745_R0,GEMOMA_00014326-RA,F1NLU5,HCN2,HCN2,HCN2
1221,aquChr_transcript:ENSACCT00020004746_R0,GEMOMA_00013896-RA,Q5ZHZ9,RBM12B,RBM12B,RBM12B
1222,aquChr_transcript:ENSACCT00020004747_R0,GEMOMA_00000791-RA,A0A3Q3AWE6,NA,NA,NA
1223,aquChr_transcript:ENSACCT00020004751_R0,GEMOMA_00004493-RA,Q5ZLF8,MAP1LC3B,MAP1LC3B,MAP1LC3B
1224,aquChr_transcript:ENSACCT00020004753_R0,GEMOMA_00003447-RA,A0A3Q2U216,LZTFL1,LZTFL1,LZTFL1
1225,aquChr_transcript:ENSACCT00020004767_R0,GEMOMA_00008210-RA,Q9DDN6,NPY2R,NPY2R,NPY2R
1226,aquChr_transcript:ENSACCT00020004779_R0,GEMOMA_00001871-RA,P19336,CCN1,CCN1,CCN1
1227,aquChr_transcript:ENSACCT00020004781_R0,GEMOMA_00004492-RA,A0A3Q2UD36,FBXO31,FBXO31,FBXO31
1228,aquChr_transcript:ENSACCT00020004790_R0,GEMOMA_00007900-RA,A0A1D5P9E6,TOP2A,TOP2A,TOP2A
1229,aquChr_transcript:ENSACCT00020004802_R0,GEMOMA_00004267-RA,A0A1L1RR22,RBL2,RBL2,RBL2
1230,aquChr_transcript:ENSACCT00020004807_R0,GEMOMA_00004109-RA,E1C0A3,TXNL4B,TXNL4B,TXNL4B
1231,aquChr_transcript:ENSACCT00020004808_R0,GEMOMA_00003395-RA,F2Z4K3,CRYGN,CRYGN,CRYGN
1232,aquChr_transcript:ENSACCT00020004813_R0,GEMOMA_00014598-RA,NA,EXOSC4,NA,EXOSC4
1233,aquChr_transcript:ENSACCT00020004817_R0,GEMOMA_00004108-RA,F1NMQ4,TRMT10C,TRMT10C,TRMT10C
1234,aquChr_transcript:ENSACCT00020004828_R0,GEMOMA_00003394-RA,A0A1D5NUP4,WDR86,WDR86,WDR86
1235,aquChr_transcript:ENSACCT00020004829_R0,GEMOMA_00004491-RA,A0A1D5P364,KIAA0513,KIAA0513,KIAA0513
1236,aquChr_transcript:ENSACCT00020004830_R0,GEMOMA_00004107-RA,F1NMQ3,PCNP,PCNP,PCNP
1237,aquChr_transcript:ENSACCT00020004831_R0,GEMOMA_00006089-RA,A0A3Q2TU22,EPB41L1,EPB41L1,EPB41L1
1238,aquChr_transcript:ENSACCT00020004834_R0,GEMOMA_00008207-RA,F1P4U8,NA,LOC100857197,LOC100857197
1239,aquChr_transcript:ENSACCT00020004835_R0,GEMOMA_00001873-RA,R4GI14,BCL10,BCL10,BCL10
1240,aquChr_transcript:ENSACCT00020004836_R0,GEMOMA_00009936-RA,A0A1D5PCB1,FOXA1,FOXA1,FOXA1
1241,aquChr_transcript:ENSACCT00020004839_R0,GEMOMA_00005776-RA,A0A3Q2U403,PGAM5,PGAM5,PGAM5
1242,aquChr_transcript:ENSACCT00020004840_R0,GEMOMA_00004634-RA,Q8JG64,PDIA3,PDIA3,PDIA3
1243,aquChr_transcript:ENSACCT00020004841_R0,GEMOMA_00004268-RA,Q5ZJJ5,AKTIP,AKTIP,AKTIP
1244,aquChr_transcript:ENSACCT00020004847_R0,GEMOMA_00001874-RA,A0A1L1RX99,NA,C8H1orf52,C8H1ORF52
1245,aquChr_transcript:ENSACCT00020004850_R0,GEMOMA_00013717-RA,A0A3Q3AF88,GATAD2B,GATAD2B,GATAD2B
1246,aquChr_transcript:ENSACCT00020004850_R1,GEMOMA_00013236-RA,A0A3Q3AF88,GATAD2B,GATAD2B,GATAD2B
1247,aquChr_transcript:ENSACCT00020004852_R0,GEMOMA_00015693-RA,A0A1D5PZG6,AKAP8L,AKAP8L,AKAP8L
1248,aquChr_transcript:ENSACCT00020004852_R1,GEMOMA_00015639-RA,A0A1D5PZG6,AKAP8L,AKAP8L,AKAP8L
1249,aquChr_transcript:ENSACCT00020004852_R2,GEMOMA_00015697-RA,NA,NA,NA,NA
1250,aquChr_transcript:ENSACCT00020004852_R3,GEMOMA_00015675-RA,NA,NA,NA,NA
1251,aquChr_transcript:ENSACCT00020004862_R0,GEMOMA_00003445-RA,A0A1D5NWC3,FYCO1,FYCO1,FYCO1
1252,aquChr_transcript:ENSACCT00020004864_R0,GEMOMA_00001875-RA,A0A1D5P6M5,SYDE2,SYDE2,SYDE2
1253,aquChr_transcript:ENSACCT00020004868_R0,GEMOMA_00003392-RA,E1BYY2,C9ORF152,C9ORF152,C9ORF152
1254,aquChr_transcript:ENSACCT00020004881_R0,GEMOMA_00000674-RA,A0A1D5PD47,CARF,CARF,CARF
1255,aquChr_transcript:ENSACCT00020004883_R4,GEMOMA_00000054-RA,F1NPD4,CCR6,CCR6,CCR6
1256,aquChr_transcript:ENSACCT00020004886_R0,GEMOMA_00001353-RA,A0A3Q2TY99,CYB5R4,CYB5R4,CYB5R4
1257,aquChr_transcript:ENSACCT00020004895_R0,GEMOMA_00004105-RA,A0A1L1RLL0,RPL24,RPL24,RPL24
1258,aquChr_transcript:ENSACCT00020004900_R0,GEMOMA_00005779-RA,F1P0L5,TRMT2A,TRMT2A,TRMT2A
1259,aquChr_transcript:ENSACCT00020004905_R0,GEMOMA_00004396-RA,E1BR14,TPPP3,TPPP3,TPPP3
1260,aquChr_transcript:ENSACCT00020004908_R0,GEMOMA_00013893-RA,A0A3Q2UCJ7,SLC26A7,SLC26A7,SLC26A7
1261,aquChr_transcript:ENSACCT00020004910_R0,GEMOMA_00008205-RA,F1P4V1,FGA,FGA,FGA
1262,aquChr_transcript:ENSACCT00020004914_R0,GEMOMA_00003442-RA,A0A3Q2UD44,CCR2,CCR2,CCR2
1263,aquChr_transcript:ENSACCT00020004916_R0,GEMOMA_00002468-RA,E1BWA3,PRKCI,PRKCI,PRKCI
1264,aquChr_transcript:ENSACCT00020004917_R0,GEMOMA_00005780-RA,NA,NA,NA,NA
1265,aquChr_transcript:ENSACCT00020004921_R0,GEMOMA_00004104-RA,F1NL89,CEP97,NA,CEP97
1266,aquChr_transcript:ENSACCT00020004924_R0,GEMOMA_00000795-RA,A0A3Q2U434,NA,NA,NA
1267,aquChr_transcript:ENSACCT00020004925_R0,GEMOMA_00007068-RA,Q9W689,ATXN3,ATXN3,ATXN3
1268,aquChr_transcript:ENSACCT00020004926_R0,GEMOMA_00003441-RA,B2BJC3,CCR5,CCR5,CCR5
1269,aquChr_transcript:ENSACCT00020004927_R0,GEMOMA_00004489-RA,A0A1D5PT85,GSE1,GSE1,GSE1
1270,aquChr_transcript:ENSACCT00020004928_R0,GEMOMA_00004395-RA,E1BR27,ZDHHC1,NA,ZDHHC1
1271,aquChr_transcript:ENSACCT00020004930_R0,GEMOMA_00005656-RA,A0A1D5NXA5,SVOP,SVOP,SVOP
1272,aquChr_transcript:ENSACCT00020004936_R0,GEMOMA_00010170-RA,E1BQT7,ARHGEF16,ARHGEF16,ARHGEF16
1273,aquChr_transcript:ENSACCT00020004938_R0,GEMOMA_00013716-RA,A0A3Q2TSH0,INTS3,INTS3,INTS3
1274,aquChr_transcript:ENSACCT00020004938_R1,GEMOMA_00013235-RA,NA,INTS3,NA,INTS3
1275,aquChr_transcript:ENSACCT00020004939_R0,GEMOMA_00005781-RA,A0A1D5PPX8,DGCR8,NA,DGCR8
1276,aquChr_transcript:ENSACCT00020004940_R0,GEMOMA_00008204-RA,F1NUL9,FGB,FGB,FGB
1277,aquChr_transcript:ENSACCT00020004943_R0,GEMOMA_00014323-RA,A0A1D5NZC4,RNF126,RNF126,RNF126
1278,aquChr_transcript:ENSACCT00020004958_R0,GEMOMA_00003440-RA,A0A1D5P3M9,TOPBP1,TOPBP1,TOPBP1
1279,aquChr_transcript:ENSACCT00020004964_R0,GEMOMA_00004488-RA,A0A1D5PQM4,GINS2,GINS2,GINS2
1280,aquChr_transcript:ENSACCT00020004968_R0,GEMOMA_00004103-RA,E1C8F5,NXPE3,NXPE3,NXPE3
1281,aquChr_transcript:ENSACCT00020004972_R0,GEMOMA_00008203-RA,A0A1L1RM96,PLRG1,PLRG1,PLRG1
1282,aquChr_transcript:ENSACCT00020004974_R0,GEMOMA_00004269-RA,A0A3Q2U526,RPGRIP1L,RPGRIP1L,RPGRIP1L
1283,aquChr_transcript:ENSACCT00020004982_R0,GEMOMA_00007069-RA,E1C1F2,TRIP11,TRIP11,TRIP11
1284,aquChr_transcript:ENSACCT00020004986_R0,GEMOMA_00014322-RA,A0A3Q3AWK4,FSTL3,FSTL3,FSTL3
1285,aquChr_transcript:ENSACCT00020004987_R0,GEMOMA_00002467-RA,F1P0N0,SKIL,SKIL,SKIL
1286,aquChr_transcript:ENSACCT00020004988_R0,GEMOMA_00013890-RA,A0A1D5PD65,PIP4P2,TMEM55A,PIP4P2
1287,aquChr_transcript:ENSACCT00020004989_R0,GEMOMA_00003552-RA,Q5ZI84,MKLN1,MKLN1,MKLN1
1288,aquChr_transcript:ENSACCT00020004990_R0,GEMOMA_00004487-RA,A0A3Q2UJL4,C16ORF74,NA,C16ORF74
1289,aquChr_transcript:ENSACCT00020004997_R0,GEMOMA_00005782-RA,A0A1D5PUD8,TANGO2,TANGO2,TANGO2
1290,aquChr_transcript:ENSACCT00020005000_R0,GEMOMA_00001879-RA,B0FMV6,LPAR3,LPAR3,LPAR3
1291,aquChr_transcript:ENSACCT00020005004_R0,GEMOMA_00002466-RA,E1BR31,CLDN11,CLDN11,CLDN11
1292,aquChr_transcript:ENSACCT00020005005_R0,GEMOMA_00002703-RA,F1P2L5,LSG1,LSG1,LSG1
1293,aquChr_transcript:ENSACCT00020005007_R0,GEMOMA_00014321-RA,A0A3Q2TZT4,PRSS57,PRSS57,PRSS57
1294,aquChr_transcript:ENSACCT00020005008_R0,GEMOMA_00015003-RA,Q5ZK25,SZRD1,SZRD1,SZRD1
1295,aquChr_transcript:ENSACCT00020005008_R1,GEMOMA_00015012-RA,Q5ZK25,SZRD1,SZRD1,SZRD1
